start time                lon       lat      depth  mag
1999-02-17 02:12:28.0900  121.7143  37.3492  7.16  1.51  30217538
1999-02-17 02:13:21.9700  121.7145  37.3492  7.08  1.57  30217539

1984-05-11 14:32:15.0800  121.7108  37.364  6.08  0.57  18205
1984-05-24 16:41:01.0900  121.7165  37.3535  7.81  1.19  19315
1984-10-09 19:44:33.8000  121.7197  37.3545  8.46  0.68  29728
1984-11-23 08:56:09.8300  121.7222  37.3572  8.42  0.8  32308
1984-11-23 12:48:10.5900  121.7177  37.353  8.11  0.81  32353
1985-01-02 21:12:29.5500  121.7257  37.3577  8.64  1.04  36248
1985-01-30 13:57:07.7500  121.7207  37.3562  7.87  0.68  39322
1985-01-26 22:03:24.5500  121.7187  37.354  8.72  0  39415
1985-02-10 15:33:31.3800  121.7182  37.3558  7.89  1.05  40509
1985-02-13 22:25:19.8900  121.7177  37.3538  8.09  0.82  40909
1985-02-27 09:14:28.6300  121.7193  37.3575  7.57  1.7  42235
1985-04-20 03:30:00.9900  121.7192  37.3567  7.37  1.69  46408
1985-05-12 18:15:58.7200  121.7173  37.3525  7.87  0.82  47672
1985-06-11 08:46:26.7300  121.7158  37.3545  7.9  0.6  49398
1985-07-29 03:58:30.7000  121.7198  37.356  9.51  0.94  51820
1985-07-29 04:02:31.7700  121.7183  37.3553  8.27  1.35  51879
1985-07-29 04:03:04.9700  121.7193  37.3548  7.99  1.08  51880
1985-09-24 11:51:02.0800  121.7198  37.3555  7.75  1.04  55715
1985-09-28 08:40:31.7600  121.7168  37.354  7.67  1.26  55953
1985-11-12 00:19:22.8900  121.7195  37.3572  7.16  1.41  58953
1985-11-25 18:49:07.5500  121.7213  37.3578  8.67  0.87  59878
1986-01-26 08:05:49.8600  121.7213  37.3578  7.65  0.9  64463
1986-01-26 08:26:27.2800  121.7223  37.357  8.52  0.94  64465
1986-02-01 03:36:17.7300  121.7208  37.3575  7.86  1.55  65826
1986-02-23 13:48:22.1600  121.7202  37.3565  8.03  1.37  66869
1986-05-03 16:59:47.2700  121.7163  37.3538  8.49  0.93  71839
1986-07-23 17:56:32.8200  121.721  37.3568  8.75  1.08  77096
1986-08-22 08:12:38.2900  121.7183  37.3553  8.25  0.96  80072
1986-10-04 23:47:55.4100  121.714  37.3565  10.4  0.95  84676
1987-06-21 10:41:33.9600  121.7183  37.3563  9.93  0.89  102158
1987-06-21 10:45:31.8300  121.72  37.3567  8.2  1.41  102159
1987-06-21 10:50:13.7900  121.7188  37.3562  7.45  1.26  102160
1987-12-13 02:05:13.5200  121.7217  37.3572  7.74  1.91  109860
1988-01-25 01:21:43.2200  121.718  37.3543  8.07  0.88  111341
1988-03-23 11:28:25.4600  121.7197  37.3572  8.63  0.93  114363
1988-03-23 11:43:52.0100  121.719  37.3562  8.1  1.37  114365
1988-03-23 11:30:55.9200  121.7195  37.3575  8.72  0.71  114442
1988-03-31 21:04:45.3100  121.7163  37.3528  7.96  0.93  114910
1988-07-05 23:30:34.2700  121.7198  37.3562  8.34  0.99  119967
1988-08-19 02:45:13.8300  121.7192  37.3565  8.28  0  122594
1988-09-14 01:56:18.5300  121.7218  37.3565  7.13  1.37  123733
1988-11-09 05:15:07.9000  121.7172  37.3523  9.06  0  126670
1988-11-09 05:15:08.7200  121.7177  37.3567  9.39  1.11  126726
1988-11-15 15:57:29.7100  121.7168  37.3538  7.89  0.95  126991
1988-11-21 11:45:19.5200  121.7175  37.3532  7.64  1.01  127333
