Fault,Longitude,Latitude,Location Description,Creep rate (mm/yr),sig (mm/yr),Type,Inst,Start,End,Years,Source,EQ Contamination,Temporal Variation Observed,Added or Updated from UCERF3,Used in 2021 Inversion
Hayward,-122.0414,37.63097,HWDL (Woodland),4.6,0.1,Int,AA,1970,2018,48.7,14,,,Yes,Yes
San Andreas,-116.234,33.777,Indio,1.5,0.6,Int,AA,1970,1984,14.0,12,,,No,Yes
San Andreas,-120.9823,36.3972,"Lane, BWV",25,0.2,Int,Cult,1908,1966,58.0,1,,,No,Yes
San Andreas,-121.2717,36.6583,Lewis,14,0.4,Int,AA,1973,1977,4.0,3,,,No,Yes
Calaveras,-121.8508,37.5358,Lower North,3.6,0.5,Int,AA,1997,2001,4.0,5,,,No,Yes
Maacama,-123.0507,38.93464,"MAMR (Middle Ridge, near Hopland, CA)",2.5,0.6,Int,AA,2008,2017,8.8,14,,,Yes,Yes
San Andreas,-115.887,33.482,Mecca beach,0.7,0.266,Int,CM,1981,1984,3.0,12,,,No,Yes
San Andreas,-120.798,36.18,Mee Ranch,26.7,1,Int,GPS,1970,2003,33.0,21,,,No,Yes
San Andreas,-120.7567,36.18,Mee Ranch,23.7,0.365,Int,AA,1970,2004,34.0,22,,,Yes,Yes
San Andreas,-121.1845,36.5933,Melendy,22.9,0.4,Int,AA,1967,1978,11.0,3,,,No,Yes
Maacama,-122.82647,38.7032,"MSKP (Skipstone Ranch, Alexander Valley)",1.4,0.3,Int,AA,2008,2017,8.9,14,,,Yes,Yes
Maacama,-123.16748,39.13906,"MUKI (Sanford Ranch Road, Ukiah)",4.2,0.1,Int,AA,1993,2018,24.9,14,,,Yes,Yes
Maacama,-123.35612,39.41242,"MWIL (W. Commercial Ave., Willits)",5.3,0.1,Int,AA,1991,2018,26.5,14,,,Yes,Yes
Rodgers Creek,-122.7083,38.4701,Nielson Rd,0.4,0.5,Int,AA,1980,1986,6.0,5,,,No,Yes
San Andreas,-115.949,33.541,North Shore,0,0.1,Int,CM,1970,1984,14.0,12,,,No,Yes
San Andreas,-115.9325,33.5839,"North Shore, Coachella Valley",1.9,0.667,Int,SAR,1992.7,1999.5,6.8,26,,Yes,Yes,Yes
San Andreas,-115.9325,33.5839,"North Shore, Coachella Valley",1,0.667,Int,SAR,2003.5,2010.25,6.8,26,,Yes,Yes,Yes
San Andreas,-115.9325,33.5839,"North Shore, Coachella Valley",0,0.667,Int,SAR,2014.9,2018,3.5,26,,Yes,Yes,Yes
San Andreas,-121.5467,36.8548,NYL,9.37,0.1,Int,CM,2004.2,2013.1,8.9,17,,,Yes,Yes
San Andreas,-121.5453,36.8549,Nyland Fence,8,0.2,Int,Cult,1942,1978,36.0,3,,,No,Yes
San Andreas,-121.525,36.8392,Old Highway,13.3,0.2,Int,Cult,1926,1978,52.0,3,,,No,Yes
San Andreas,-121.3467,36.72,Paicines,13.5,0.4,Int,AA,1972,1977,5.0,3,,,No,Yes
Calaveras,-121.1425,36.5932,Paicines-Pionne,10,3,Int,Geod,1975,1979,4.0,11,,,No,Yes
Calaveras,-121.3233,36.805,Paicines-Thomas,6.2,0.1,Int,AA,1973,1986,13.0,25,,,No,Yes
Calaveras,-121.3736,36.805,Paicines-Tres P.,5,3,Int,Geod,1975,1979,4.0,11,,,No,Yes
San Andreas,-116.0222,33.6014,"Painted Canyon, Coachella Valley",2.6,0.667,Int,SAR,1992.7,1999.5,6.8,26,,Yes,Yes,Yes
San Andreas,-116.0222,33.6014,"Painted Canyon, Coachella Valley",2.4,0.667,Int,SAR,2003.5,2010.25,6.8,26,,Yes,Yes,Yes
San Andreas,-116.0222,33.6014,"Painted Canyon, Coachella Valley",1.7,0.667,Int,SAR,2014.9,2018,3.5,26,,Yes,Yes,Yes
San Andreas,-117.888,34.457,Pallett Creek,0,0.2,Int,AA,1970,1984,14.0,12,,,No,Yes
San Andreas,-120.205,35.6517,Palo Prieto,0,0.4,Int,AA,1975,1977,2.0,3,,,No,Yes
San Andreas,-120.4337,35.8951,Parkfield Brdg,22,0.2,Int,Cult,1932,1978,46.0,3,,,No,Yes
San Andreas,-121.135,36.5433,Pinnacles,23.1,0.4,Int,AA,1972,1977,5.0,3,,,No,Yes
San Andreas,-123.6895,39,Point Arena,0.5,0.1,Int,AA,1981,2000,19.0,5,,,No,Yes
San Andreas,-122.7969,38.0441,Point Reyes,-0.1,0.365,Int,AA,1985,2009,24.0,12,,,No,Yes
Garlock,-117.656,35.452,Rand,0,0.365,Int,AA,1971,1983,,12,,,No,Yes
Rodgers Creek,-122.86539,38.64186,RCBP (Bridle Path),0.9,0.1,Int,AA,2015,2018,3,14,,,Yes,Yes
Rodgers Creek,-122.7949,38.5773,RCBR (Brooks Road),-1.2,1.3,Int,AA,2010,2014,4.5,14,,,Yes,Yes
Rodgers Creek,-122.73807,38.50169,RCMW (Mark West Springs Rd.),4.3,0.4,Int,AA,2008,2018,10.5,14,,,Yes,Yes
Rodgers Creek,-122.69446,38.43687,RCSD (Solano Drive),1.3,0.1,Int,AA,2002,2018,15.9,14,,,Yes,Yes
Rodgers Creek,-122.59046,38.30928,RCSM (Sonoma Mtn. Rd),2.1,0.2,Int,AA,2002,2018,15.8,14,,,Yes,Yes
Rodgers Creek,-122.47916,38.1987,RCWC (Wildcat Mountain),0.2,0.3,Int,AA,2010,2017,7.2,14,,,Yes,Yes
Calaveras,-121.812,37.4578,Reservoir,2.2,0.5,Int,Geod,1970,1979,9.0,16,,,No,Yes
San Andreas,-121.1835,36.574,River Terrace,23.1,0.4,Int,AA,1970,1973,3.0,3,,,No,Yes
Rodgers Creek,-122.6405,38.3478,Roberts Rd,1.6,0.1,Int,AA,1986,2000,14.0,5,,,No,Yes
Imperial,-115.4787,32.8202,Ross Road,5,0.266,Int,CM,1975,1979,,12,,,No,Yes
San Andreas,-123.69059,38.99986,SAAC (Alder Creek),0.4,0.1,Int,AA,1981,2017,36.9,14,,,Yes,Yes
San Andreas,-121.58611,36.88261,SACR (Cannon Road),0.1,0.1,Int,AA,1989,1998,8.2,14,maybe,,Yes,No
San Andreas,-122.46564,37.64419,SADW (Duhallow Way),-0.2,0.1,Int,AA,1980,2018,38.2,14,,,Yes,Yes
San Andreas,-121.52171,36.83502,SAMV (Mission Vineyard Rd),11.7,0.1,Int,AA,1990,2018,28,14,,,Yes,Yes
Calaveras,-121.4826,37.0096,San Felipe,13,2,Int,Geod,1972,1979,7.0,11,maybe,,No,No
San Andreas,-121.52,36.8367,San Juan,14,0.4,Int,AA,1968,1977,9.0,3,,,No,Yes
Rodgers Creek,-122.4469,38.0987,San Pablo,1.4,1.1,Int,Trilat,1978,1988,10.0,7,,,No,Yes
San Andreas,-116.964,34.058,Santa Ana wash,0,0.4,Int,AA,1970,1983,13.0,12,,,No,Yes
San Andreas,-122.79796,38.04398,SAPR (Point Reyes),0,0.1,Int,AA,1985,2018,33.6,14,,,Yes,Yes
San Andreas,-122.26154,37.417,SARD (Roberta Dr),0.5,0.1,Int,AA,1989,2018,28.4,14,,,Yes,Yes
San Andreas,-121.5728,36.87453,SASR (Searle Rd),1,0.2,Int,AA,2002,2018,15.8,14,,,Yes,Yes
San Andreas,-121.23,36.65,SCR,13.8,0.266,Int,CM,1970,1976,6.0,2,,,No,Yes
San Andreas,-122.4646,37.6443,SF Penn,-0.3,0.02,Int,AA,1980,1994,14.0,5,,,No,Yes
San Andreas,-122.2605,37.4171,SF Penn,0.3,0.1,Int,AA,1989,2000,11.0,5,,,No,Yes
San Gregorio,-122.37294,37.2545,SGPR (Pescadero Rd),0.9,0.1,Int,AA,1982,2018,35.9,14,,,Yes,Yes
San Gregorio,-122.49664,37.50369,"SGWP (West Point Ave), Seal Cove",0.1,0.1,Int,AA,1979,2018,38.8,14,,,Yes,Yes
San Andreas,-121.5851,36.8827,SJB?,0.1,0.1,Int,AA,1989,1998,9.0,5,maybe,,No,No
San Andreas,-121.5207,36.8351,SJB?,10.4,0.2,Int,AA,1990,2001,11.0,5,maybe,,No,No
San Andreas,-121.5,36.82,SJN,8.1,0.266,Int,CM,1969,1976,7.0,2,,,No,Yes
San Andreas,-120.6283,36.065,Slack Canyon,21.2,0.365,Int,AA,1968,2004,36.0,22,,,Yes,Yes
San Andreas,-120.6283,36.065,Slack Canyon,20.8,1.0,Int,CM,1969,2004,35.0,22,,,No,Yes
San Andreas,-120.628,36.065,Slack Cny,24.9,1,Int,GPS,1968,2003,35.0,21,,,No,Yes
San Andreas,-120.969,36.3883,Smith Ranch,23.2,1,Int,GPS,1967,2003,36.0,21,,,No,Yes
Green Valley,-115.6633,32.9045,Superstition Hills,0.5,0.266,Int,CM,1968,1979,,12,,,Yes,Yes
Green Valley,-115.769,32.984,Superstition Hills,2.786,0.4,Int,SAR,2006,2010,3.5,23,,,No,No
Green Valley,-115.692,32.923,Superstition Hills,1.066,2.93,Int,SAR,2006,2010,3.5,23,,,No,No
San Andreas,-120.425,35.902,Taylor Ranch,9.3,0.266,Int,CM,1985,2004,19.0,22,,,No,Yes
Imperial,-115.356,32.683,Tuttle Ranch,1.4,0.266,Int,CM,1975,1979,,12,,,No,Yes
San Andreas,-120.1478,35.5957,TWR (Twisselman Ranch),-0.71,0.07,Int,CM,1979.9,1992.2,12.3,17,,,Yes,Yes
San Andreas,-118.11,34.55,Una Lake,0,0.5,Int,AA,1970,1984,14.0,12,,,No,Yes
Calaveras,-121.9598,37.7458,Upper North,0.2,0.1,Int,AA,1980,1989,9.0,5,,,No,Yes
Calaveras,-121.8642,37.581,Veras,2.9,0.3,Int,Geod,1965,1976,11.0,16,,,No,Yes
San Andreas,-120.3071,35.7566,Water tank,4,0.4,Int,AA,1966,1979,13.0,3,,,No,Yes
San Andreas,-117.276,34.174,Waterman,0,1,Int,AA,1970,1983,13.0,12,,,No,Yes
San Andreas,-121.185,36.595,Willow Creek,22.7,0.4,Int,AA,1972,1977,5.0,3,,,No,Yes
San Andreas,-121.163,36.5735,"Wire, Melendy",8,0.2,Int,Cult,1951,1966,15.0,1,,,No,Yes
Imperial,-115.51,32.862,Worthington Road,13,8,Int,AA,1974,1979,,12,,,Yes,Yes
San Andreas,-120.42,35.88,XDR2,8.3,0.266,Int,CM,1972,1987,15.0,2,,,No,Yes
San Andreas,-120.35,35.82,XGH1,3.25,0.266,Int,CM,1972,1987,15.0,2,,,No,Yes
San Andreas,-121.4225,36.7718,XHR (Harris Ranch),12.94,0.37,Int,CM,1985.3,2020.7,35.4,17,,,Yes,Yes
San Andreas,-120.4198,35.8625,XHS (Hearst Southwest),-0.72,0.07,Int,CM,1987.5,2010.4,22.9,17,Probably,,Yes,No
San Andreas,-120.7976,36.217,XMP (Monarch Peak),14.71,0.3,Int,CM,1969.4,1997.5,28.1,17,,,Yes,Yes
San Andreas,-121.187,36.5933,XMR (Melendy Ranch),17.39,0.2,Int,CM,1969.4,2020.7,51.3,17,,,Yes,Yes
San Andreas,-119.6911,35.149,XPH (Panorama Hills),-0.09,0.01,Int,CM,1977.7,1991.9,14.2,17,,,Yes,Yes
San Andreas,-120.4601,35.9052,XRS (Roberson Southwest),-0.01,0.03,Int,CM,1987.4,2005.7,18.3,17,Probably,,Yes,No
San Andreas,-120.63,36.07,XSC1,22.1,Undf.,Int,CM,1972,1987,15.0,2,maybe,,No,No
San Andreas,-121.5214,36.836,XSJ (San Juan Bautista),8.57,0.23,Int,CM,1969.4,2016.9,47.5,17,,,Yes,Yes
Green Valley,-122.1495,38.1986,,4.4,0.1,Int,AA,1984,2001,17.0,5,,,No,Yes
Hayward,-122.2506,37.8719,,4.6,0.1,Int,AA,1966.912,1999.658,32.7,8,,,No,Yes
Hayward,-122.0899,37.6798,,5,0.1,Int,AA,1967.167,1999.83,32.7,8,,,No,Yes
Hayward,-122.3546,37.9891,,5,0.1,Int,AA,1968.333,1993.058,24.7,8,,,No,Yes
Hayward,-122.1975,37.8101,,3.7,0.1,Int,AA,1970.29,1999.696,29.4,8,,,No,Yes
Hayward,-122.2304,37.8484,,3.8,0.1,Int,AA,1974.258,1999.696,25.4,8,,,No,Yes
Hayward,-122.0804,37.6703,,4.4,0.1,Int,AA,1980.478,1999.83,19.4,8,,,No,Yes
Hayward,-122.0008,37.5925,,5.1,0.2,Int,AA,1979.729,1999.83,20.1,8,,,No,Yes
Hayward,-122.3379,37.969,,4.8,0.2,Int,AA,1980.609,1999.89,19.3,8,,,No,Yes
Hayward,-122.209,37.8264,,3.7,0.2,Int,AA,1993.112,1999.89,6.8,8,,,No,Yes
Hayward,-122.1882,37.7951,,3.6,0.3,Int,AA,1974.274,1999.66,25.4,8,,,No,Yes
Hayward,-121.9607,37.5422,,5.6,0.3,Int,AA,1979.726,1989.808,10.1,8,,,No,Yes
Hayward,-122.2918,37.9246,,4.4,0.3,Int,AA,1989.748,1999.868,10.1,8,,,No,Yes
Hayward,-122.3083,37.9425,,4.9,0.4,Int,AA,1989.748,1999.677,9.9,8,,,No,Yes
Hayward,-122.1504,37.7546,,3.7,0.5,Int,AA,1989.693,1999.888,10.2,8,,,No,Yes
Hayward,-122.1285,37.7319,,5.9,0.5,Int,AA,1993.389,1999.679,6.3,8,,,No,Yes
Hayward,-122.0579,37.6481,,6.7,0.5,Int,AA,1994.589,1999.677,5.1,8,,,No,Yes
Hayward,-122.0727,37.6627,,4,0.6,Int,AA,1977.074,1999.677,22.6,8,,,No,Yes
Hayward,-122.0222,37.6143,,5.1,0.7,Int,AA,1994.592,1999.696,5.1,8,,,No,Yes
Hayward,-122.1045,37.695,,5.5,0.9,Int,AA,1992.62,1999.66,7.0,8,,,No,Yes
Hayward,-121.9797,37.5664,,6,1.3,Int,AA,1983.759,1988.847,5.1,8,,,No,Yes
Hayward,-121.9316,37.5097,,8.2,0.4,Int,Cult,1968.7,1982.3,13.6,8,,,No,Yes
Hayward,-121.9548,37.5361,,8.9,0.6,Int,Cult,1940.3,1987.636,47.3,8,,,No,Yes
Hayward,-121.9343,37.5125,,9.5,0.6,Int,Cult,1967.7,1987.636,19.9,8,,,No,Yes
Bartlett Springs,-122.768,39.234,,0.268,0.93,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-122.532,39.038,,0.517,0.962,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-122.833,39.304,,-0.428,1.171,Int,SAR,2006,2010,3.5,23,,,No,No
Bartlett Springs,-122.623,39.107,,1.776,1.369,Int,SAR,2006,2010,3.5,23,,,No,No
