Fault,Longitude,Latitude,Location Description,Creep rate (mm/yr),sig (mm/yr),Type,Inst,Start,End,Years,Source,EQ Contamination,Temporal Variation Observed,Added or Updated from UCERF3,Used in 2021 Inversion
Imperial,-115.4042823,32.727629,,4.81,1.31,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.2995799,32.61461414,,1.94,1.33,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.441906,32.77147265,,6.52,1.33,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.4537605,32.78668774,,6.7,1.33,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3661942,32.68428346,,2.4,1.34,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3596705,32.67718847,,0.38,1.35,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3394835,32.65611883,,0,1.36,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.4106221,32.73492988,,2.89,1.36,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3462262,32.66310212,,0,1.37,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3064742,32.6216197,,1,1.37,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3529484,32.67014529,,0,1.4,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3327409,32.64913554,,0.16,1.4,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.4237231,32.74931197,,4.64,1.4,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3979425,32.72032811,,5,1.4,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.4171726,32.74212093,,4.44,1.41,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.2926855,32.60760857,,0,1.42,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3260154,32.64208732,,0.2,1.42,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.4359444,32.76392904,,6.4,1.43,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.31929,32.6350391,,0,1.44,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3128821,32.6283294,,0.26,1.44,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.549797,32.9044677,,1.72,1.45,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3915743,32.71286324,,3.79,1.48,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.5456001,32.89608147,,1.33,1.49,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.378962,32.69838841,,3.83,1.51,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.540472,32.88844736,,1.11,1.52,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.3852061,32.70539837,,3.69,1.52,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.372718,32.69137845,,4.11,1.57,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.4298338,32.7566205,,6.46,1.62,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.5132502,32.84946939,,0,1.63,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.5353439,32.88081326,,0.43,1.63,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.5291685,32.8734653,,0.5,1.67,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.4861217,32.82198378,,3.87,1.72,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.5181217,32.85779336,,0.42,1.73,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.5229932,32.86611734,,0.98,1.73,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.493916,32.82819958,,0,1.74,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.5074802,32.84194239,,0,1.83,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Imperial,-115.5017102,32.83441538,,0,1.88,,SAR,2003,2010,7.0,10,,Yes,Yes,Yes
Bartlett Springs,-122.623,39.107,,-1.5841,0.4599,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Bartlett Springs,-122.532,39.038,,-1.3838,0.497,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Bartlett Springs,-122.833,39.304,,1.6044,0.5265,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Bartlett Springs,-122.692,39.17,,2.5788,0.5594,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Bartlett Springs,-122.899,39.378,,4.9095,0.573,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Bartlett Springs,-122.768,39.234,,4.2211,0.5908,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Bartlett Springs,-122.959,39.454,,-2.5452,1.194,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Bartlett Springs,-123.02,39.533,,-4.5479,1.3917,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.396,36.842,,2.3896,0.4746,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.339,36.766,,4.3251,0.5068,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.100108,36.552216,,8.4862,0.6276,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.768,37.392,,2.3112,0.6625,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.656,37.238,,9.4786,0.6662,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.945,37.721,,0.0396,0.6789,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.538,37.084,,1.7357,0.6797,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.022388,36.48957,,1.6076,0.7505,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.712,37.315,,8.1981,0.8203,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.598,37.161,,3.7819,0.8281,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.189,36.628,,2.3786,0.8293,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.266,36.697,,3.6884,0.9128,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.483,37.005,,2.1949,0.9602,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.819,37.473,,5.7199,1.2387,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.859,37.557,,7.4259,1.4997,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.436,36.924,,0.7772,1.9916,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.902,37.64,,2.793,2.0223,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Concord,-122.036,37.972,,3.0782,0.4118,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Concord,-122.005004,37.91965,,0.8179,0.9632,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.456,35.504,,0.1964,0.0549,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.665,35.449,,-0.0212,0.0728,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.349,35.526,,0.0476,0.0798,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.029,35.595,,-0.0561,0.0889,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-116.92,35.604,,-0.5412,0.0908,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.242,35.551,,0.1037,0.0909,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.112,35.19,,-0.1244,0.1261,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.766,35.412,,-0.1602,0.1322,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.203,35.145,,0.0209,0.1545,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.386,35.044,,-0.4339,0.1664,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.771,34.881,,-0.2378,0.1738,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.867,34.826,,-0.3374,0.1826,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.479,34.995,,-0.2148,0.1885,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.136,35.575,,0.0398,0.1944,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-116.81,35.596,,-0.5341,0.2392,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.676,34.924,,-0.9484,0.2433,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.578,34.965,,-0.9784,0.2677,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-116.7,35.593,,0.0782,0.2724,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-116.59,35.591,,-0.2137,0.2769,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.025,35.246,,0.1107,0.2858,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-118.296,35.098,,-0.5161,0.3124,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.86,35.368,,-1.1878,1.407,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.944,35.309,,-0.9282,1.8892,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Garlock,-117.561,35.477,,-1.3092,5.0448,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Hayward,-122.083,37.673,,5.1159,0.22,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Hayward,-121.949,37.526,,6.5114,0.3174,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Hayward,-122.337228,37.966515,,4.3791,0.3974,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Hayward,-122.012,37.601,,3.7808,0.4705,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Hayward,-122.21,37.821,,2.1939,0.5019,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Hayward,-122.143,37.746,,2.8366,0.5039,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Hayward,-122.27,37.896,,1.2211,1.1837,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.143,39.1,,0.9917,0.6521,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.248,39.26,,-0.0561,0.6623,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-122.993,38.859,,-0.6827,0.7253,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.048,38.937,,0.8452,0.7293,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.191,39.181,,3.135,0.7737,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-122.922,38.786,,3.6584,0.8482,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.502,39.665,,3.0842,0.8857,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.095,39.018,,-4.235,1.0767,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.305,39.339,,3.9904,1.1391,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.353,39.42,,3.0471,1.3239,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.451,39.584,,-6.6378,1.35,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.557,39.744,,4.8982,1.8781,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Maacama,-123.401,39.502,,-2.6464,2.0999,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Rodgers Creek,-122.712,38.465,,1.5032,0.2542,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Rodgers Creek,-122.594,38.313,,0.1724,0.548,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Rodgers Creek,-122.52,38.242,,-1.0255,0.823,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Rodgers Creek,-122.654,38.387,,0.9134,0.8828,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Rodgers Creek,-122.449,38.17,,0.3009,1.0958,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.255,33.796,,0.3466,0.0736,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.336,33.856,,0.6297,0.0863,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.508,33.962,,0.0317,0.0884,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.985,34.498,,0.4955,0.0987,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.082,34.539,,0.4178,0.112,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.805,35.25,,-0.4172,0.1131,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.6,34.013,,-0.5683,0.1143,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.701,34.042,,-0.4397,0.1149,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.732,35.183,,0.1081,0.1171,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.888,34.457,,0.8078,0.1215,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.181,34.578,,1.797,0.1247,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-115.799,33.416,,1.1569,0.1293,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.026,33.608,,1.8423,0.1343,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.575,35.057,,0.7064,0.1377,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.48,34.688,,0.4632,0.1465,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.379,34.652,,-0.2016,0.1473,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.893,34.808,,-0.597,0.1487,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.422,33.907,,0.0873,0.1606,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.791,34.418,,-0.6557,0.1617,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.582,34.719,,0.3498,0.169,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.685,34.749,,0.3087,0.1706,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.789,34.777,,0.083,0.1754,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.28,34.616,,0.9462,0.1783,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.223,34.151,,-0.6729,0.1804,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.405,34.941,,0.236,0.1915,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.655,35.12,,-0.4273,0.1921,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.492,34.998,,1.3091,0.1973,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.319,34.194,,-0.1639,0.1999,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.102,33.669,,0.3283,0.201,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.877,35.319,,-0.3553,0.2032,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.178,33.734,,2.3446,0.2104,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-118.998,34.824,,-0.5067,0.2119,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.946,35.387,,1.0361,0.2384,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.912,34.078,,0.8498,0.2486,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.211,34.86,,0.0422,0.251,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.105,34.846,,0.3365,0.2523,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.121,34.124,,0.5584,0.2654,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-119.312,34.895,,1.6707,0.2706,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-115.951,33.542,,2.6933,0.2727,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.017,34.101,,0.2931,0.2749,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.411,34.245,,1.0322,0.2797,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.503,34.292,,-0.917,0.289,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.224,35.667,,2.6503,0.3028,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.597,34.339,,-1.262,0.3251,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.418,35.88,,5.6935,0.3278,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.152,35.6,,0.8363,0.3367,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.013,35.461,,1.0829,0.3452,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-116.806,34.063,,-0.918,0.3468,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-115.877,33.475,,3.2455,0.354,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-117.694,34.378,,-0.8854,0.3757,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.493,35.948,,12.4006,0.458,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.719,36.146,,27.8814,0.4978,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.223,36.623,,15.1094,0.5239,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.645,36.077,,23.9505,0.5276,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.077,36.489,,12.4437,0.62,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.149,36.556,,18.6933,0.7182,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.569,36.011,,15.3559,0.7202,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.384,36.748,,14.4209,0.729,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.79,36.206,,33.2104,0.7453,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.935,36.346,,26.6282,0.7638,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.471,36.802,,8.2693,0.768,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.294,35.738,,6.402,0.7834,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.081,35.531,,2.0966,0.8241,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.975,37.16,,1.8885,0.8382,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.301,36.689,,13.4579,0.8382,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.862,36.28,,22.6268,0.8842,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-123.041,38.319,,2.6348,0.9306,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-122.206,37.357,,2.8922,0.9357,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-122.846,38.098,,3.308,0.9536,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.006,36.419,,18.0411,0.9657,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.642,36.919,,2.2358,0.9683,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-115.724,33.349,,-1.1266,1.0036,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.724,36.981,,2.562,1.0715,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-120.355,35.823,,3.6329,1.0911,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.557,36.862,,2.7468,1.2227,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-122.342,37.5,,1.2243,1.2696,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-121.891,37.098,,1.6718,1.47,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Andreas,-122.715,37.951,,-3.1698,2.2704,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.453,33.407,,0.1419,0.113,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.217,33.222,,0.1299,0.12,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.516,33.473,,0.3212,0.1338,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.679,33.594,,0.377,0.1412,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.763,33.647,,0.017,0.1436,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.588,33.538,,0.1496,0.1521,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-117.215,34.001,,1.6703,0.1977,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.056,33.099,,0.4644,0.1998,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.296,33.282,,0.7767,0.2068,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.143,33.164,,0.5486,0.2126,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.855,33.698,,1.3847,0.2438,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-117.358,34.135,,0.1398,0.2711,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-117.424,34.198,,1.0125,0.2762,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.004,33.033,,0.1384,0.2884,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-117.518,34.253,,0.5204,0.3084,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.371,33.346,,0.152,0.3246,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.952,33.753,,2.4895,0.4308,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-117.602,34.311,,2.911,0.4675,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-117.287,34.067,,0.7469,0.5752,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-117.055,33.877,,0.6216,0.6382,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-117.135,33.938,,0.5105,0.7634,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
San Jacinto,-116.966,33.815,,1.6271,1.0947,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Superstition Hills,-115.807421,33.007871,,6.1085,0.1232,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Superstition Hills,-115.769,32.984,,7.2451,0.1333,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Superstition Hills,-115.74209,32.961994,,6.0643,0.148,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Superstition Hills,-115.692,32.923,,1.7446,0.4658,,SAR,2015,2019,4-4.5,18,,,Yes,Yes
Calaveras,-121.1195,36.5682,,20.81,0.82,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.1265,36.5752,,17.61,0.78,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.1336,36.5822,,22.81,0.69,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.1407,36.5893,,11.85,0.71,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.1476,36.5964,,15.03,0.73,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.1546,36.6035,,20.64,0.79,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.163,36.6095,,8.5,0.81,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.1714,36.6155,,11.78,0.82,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.1798,36.6215,,9.61,0.81,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.1868,36.6285,,18.96,0.85,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.1933,36.636,,19,0.81,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2006,36.6428,,10.53,0.69,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.207,36.6504,,17.15,0.75,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2135,36.6579,,14.26,0.9,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2218,36.6639,,21.68,0.7,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2302,36.6699,,20.07,0.82,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.238,36.6764,,13.77,0.86,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2454,36.6831,,16.23,0.88,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2522,36.6904,,17.71,1.02,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2595,36.6972,,8.9,1.22,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2667,36.7041,,6.85,1.51,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2739,36.7111,,8.43,1.7,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2811,36.718,,10.68,1.38,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2883,36.7249,,11.47,1.22,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.2956,36.7318,,15.15,0.75,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.3039,36.7379,,8.78,0.83,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.3129,36.7434,,12.2,0.75,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
Calaveras,-121.3218,36.749,,9.93,0.82,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.5928,36.0354,,26.74,1.85,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6011,36.0414,,37.03,0.87,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6098,36.0472,,39.9,0.93,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6173,36.0538,,33.17,0.93,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
San Andreas,-120.6248,36.0604,,31.52,0.96,,LiDAR,2007.2,2018.2,10.9,20,,,Yes,No
